FID_left,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID_right,SBZ,Name
122782,122783,14,7,13,000,2016,02,11,2,3,4,2,0,0,0,1,0,0,0,0,"735544,386799999980000","5692942,684700000100000",12.381909332,51.338888885,0,0,0,Mitte
122791,122792,14,7,13,000,2016,02,09,2,2,9,7,0,0,0,1,0,0,0,0,"734855,796500000050000","5695634,961299999600000",12.373817508,51.363340543,9,9,9,Nord
122800,122801,14,7,13,000,2016,03,17,5,3,5,3,0,0,0,1,0,0,0,1,"738854,926499999940000","5693429,027300000200000",12.429676911,51.341873397,2,2,2,Ost
122809,122810,14,7,13,000,2016,02,21,6,3,5,3,2,0,1,1,0,0,0,0,"735169,750000000000000","5693584,743800000300000",12.376964378,51.344807281,0,0,0,Mitte
122816,122817,14,7,13,000,2016,03,21,1,3,5,3,2,0,0,1,0,0,0,0,"733984,242500000050000","5695413,026999999800000",12.361174401,51.361707953,9,9,9,Nord
122817,122818,14,7,13,000,2016,03,08,6,3,6,4,0,0,0,0,1,0,0,1,"732373,875699999980000","5696289,247200000100000",12.338656396,51.370234354,8,8,8,Nordwest
122820,122821,14,7,13,000,2016,03,08,5,3,0,6,0,0,0,0,0,0,0,1,"740083,573199999980000","5693927,751600000100000",12.447620885,51.345832355,2,2,2,Ost
122826,122827,14,7,13,000,2016,03,17,4,2,2,6,0,0,0,1,0,0,0,0,"733705,417600000040000","5690731,357699999600000",12.354104348,51.31979751,4,4,4,Süd
122833,122834,14,7,13,000,2016,03,06,4,3,4,2,1,0,0,1,0,0,0,0,"741302,491099999980000","5686884,870799999700000",12.46032613,51.282102374,3,3,3,Südost
122834,122835,14,7,13,000,2016,03,20,3,3,3,6,2,1,1,1,0,0,0,0,"733258,071099999940000","5692086,837600000200000",12.348582893,51.332148702,5,5,5,Südwest
122839,122840,14,7,13,000,2016,03,09,4,3,5,2,0,0,1,1,0,0,0,0,"735059,531500000040000","5691045,720700000400000",12.373709569,51.322061631,4,4,4,Süd
122844,122845,14,7,13,000,2016,03,10,3,3,1,5,0,1,1,1,0,0,0,0,"733587,238299999970000","5690705,502100000200000",12.352394436,51.319613938,5,5,5,Südwest
