OBJECTID,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID,SBZ,Name
251153,14221017144200739300,14,7,13,000,2022,10,15,2,3,2,6,0,0,1,1,0,0,0,0,"732700,332757211988792","5692081,115163319744170",12.340587058,51.332325783,5,5,5,Südwest
251156,14221215148210009160,14,7,13,000,2022,12,15,5,2,3,6,0,0,1,0,0,0,0,0,"735559,788267784053460","5692149,111577469855547",12.3816053410001,51.331759149,0,0,0,Mitte
251158,14221227148310950350,14,7,13,000,2022,12,07,3,3,0,1,1,2,1,0,0,0,0,0,"729941,817001405986957","5694327,339988079853356",12.302507979,51.353612082,7,7,7,Alt-West
251167,14221212148323910231,14,7,13,000,2022,12,09,2,3,5,2,0,2,1,1,0,0,0,0,"731174,015487342025153","5691912,991228899918497",12.3186061480001,51.331438946,7,7,7,Alt-West
251168,14221022148110766360,14,7,13,000,2022,10,11,7,3,5,2,0,0,1,1,0,0,0,0,"734151,044052207958885","5695637,730107969604433",12.3637139840001,51.3636562730001,9,9,9,Nord
251172,14221024144200765750,14,7,13,000,2022,10,10,2,3,3,2,0,0,0,1,0,0,0,1,"740117,164779440034181","5698121,863950479775667",12.4509338350001,51.3834629630001,1,1,1,Nordost
251178,14221017148321814510,14,7,13,000,2022,10,06,2,3,4,6,2,0,1,0,0,0,0,0,"732763,477346375002526","5694150,018772649578750",12.3428441080001,51.350871796,0,0,0,Mitte
251190,14221108144200822270,14,7,13,000,2022,11,16,3,2,2,6,1,0,0,1,0,1,0,0,"734730,360489520942792","5692486,030332690104842",12.3699425070001,51.3351263590001,0,0,0,Mitte
251202,14221026148415930750,14,7,13,000,2022,10,11,4,3,6,6,0,0,1,0,1,0,0,0,"735264,333001499995589","5693226,672985780052841",12.37808346,51.341553989,0,0,0,Mitte
251203,14221101144200787790,14,7,13,000,2022,11,04,3,3,6,7,2,0,0,0,1,0,0,1,"736526,696817734977230","5690359,555513080209494",12.3942725100001,51.3152944890001,0,0,0,Mitte
251206,14221130144200887040,14,7,13,000,2022,11,16,4,3,5,3,1,0,1,1,0,0,0,0,"739493,355704794987105","5689417,449256979860365",12.436131421,51.3055977160001,3,3,3,Südost
251209,14221222143263944480,14,7,13,000,2022,12,17,5,3,3,6,2,1,1,0,0,0,0,1,"737507,277795018046163","5687210,526463869959116",12.4062224890001,51.286620064,4,4,4,Süd
251216,14221110148211842530,14,7,13,000,2022,11,11,5,3,6,6,0,0,0,1,1,0,0,0,"736382,294262561947107","5687558,289744329638779",12.390348982,51.2902095650001,4,4,4,Süd
251220,14221220144200943680,14,7,13,000,2022,12,06,3,3,5,3,1,1,0,1,0,0,0,0,"731310,210001430008560","5693990,012987519614398",12.321906744,51.350028702,7,7,7,Alt-West
251223,14221022144200765740,14,7,13,000,2022,10,12,7,3,5,3,0,0,0,1,0,1,0,0,"742154,988867733976804","5693356,851675380021334",12.4769198330001,51.3398298220001,2,2,2,Ost
251224,14221115148110830530,14,7,13,000,2022,11,16,3,3,2,6,2,0,1,1,0,0,0,0,"737495,473227176000364","5694652,580087970010936",12.411010226,51.35342547,1,1,1,Nordost
