UNFALL_ID,FID_left,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID_right,SBZ,Name,UIDENTSTLA,LICHT,STRZUSTAND,FID,OBJECTID_1,IstSonstige,UIDENTSTLAE,OID_,IstStrassenzustand,PLST
82,44901,44902,14,7,13,000,2016,03,17,5,3,5,2,0,0,0,1,0,0,0,1,"740533,457999999980000","5696134,947999999900000",12.45556059,51.365453095,2,2.0,2,Ost,,,,,,,,,,
83,44937,44938,14,7,13,000,2016,02,18,6,3,3,6,2,0,0,1,0,0,0,0,"736158,794299999950000","5694420,052600000100000",12.391694209,51.351895222,1,1.0,1,Nordost,,,,,,,,,,
84,44952,44953,14,7,13,000,2016,02,11,7,3,2,6,0,0,0,1,0,0,0,0,"734502,203600000010000","5689702,932799999600000",12.364842412,51.310238072,4,4.0,4,Süd,,,,,,,,,,
85,45005,45006,14,7,13,000,2016,02,15,4,3,5,3,0,0,1,1,0,0,0,0,"726772,699900000010000","5697750,578700000400000",12.259254946,51.385617126,8,8.0,8,Nordwest,,,,,,,,,,
86,45008,45009,14,7,13,000,2016,03,18,1,3,2,2,1,1,0,1,0,0,0,0,"735624,153999999980000","5693432,321000000500000",12.383376415,51.343250954,0,0.0,0,Mitte,,,,,,,,,,
87,45016,45017,14,7,13,000,2016,03,14,3,3,2,6,0,1,0,1,0,0,0,0,"727426,315999999990000","5690078,016699999600000",12.263730081,51.31647649,6,6.0,6,West,,,,,,,,,,
88,45033,45034,14,7,13,000,2016,02,08,5,3,2,6,0,1,0,1,0,0,0,0,"736995,996799999960000","5691379,502299999800000",12.401672354,51.32425446,3,3.0,3,Südost,,,,,,,,,,
89,45095,45096,14,7,13,000,2016,04,17,5,3,1,6,0,0,0,1,0,0,0,0,"732633,371500000010000","5692412,887299999600000",12.339844159,51.335331391,7,7.0,7,Alt-West,,,,,,,,,,
90,45101,45102,14,7,13,000,2016,04,19,5,3,4,6,0,0,1,0,0,0,0,0,"738472,656500000040000","5694561,442400000100000",12.424957009,51.35219828,1,1.0,1,Nordost,,,,,,,,,,
91,45108,45109,14,7,13,000,2016,05,11,3,3,5,2,0,0,1,0,0,0,0,1,"736161,689000000010000","5693923,803999999500000",12.391406477,51.347439595,0,0.0,0,Mitte,,,,,,,,,,
92,45115,45116,14,7,13,000,2016,05,09,2,3,5,3,0,0,1,1,0,0,0,0,"735414,697399999950000","5693519,815600000300000",12.38043225,51.344123095,0,0.0,0,Mitte,,,,,,,,,,
93,45157,45158,14,7,13,000,2016,04,21,6,3,5,3,2,0,0,1,0,1,0,0,"727046,797799999940000","5693397,135499999900000",12.260408074,51.346425176,7,7.0,7,Alt-West,,,,,,,,,,
94,45161,45162,14,7,13,000,2016,04,14,2,3,2,2,0,0,0,1,0,0,0,0,"727925,899500000060000","5690225,706700000000000",12.270981326,51.317602492,6,6.0,6,West,,,,,,,,,,
95,45162,45163,14,7,13,000,2016,04,08,1,2,9,1,0,0,0,1,0,0,0,0,"730826,152299999960000","5692912,548299999900000",12.314269052,51.34055317,7,7.0,7,Alt-West,,,,,,,,,,
96,45164,45165,14,7,13,000,2016,05,17,7,3,6,4,0,0,1,0,1,0,0,0,"737638,549200000010000","5690493,994400000200000",12.410287438,51.316038077,3,3.0,3,Südost,,,,,,,,,,
97,45185,45186,14,7,13,000,2016,04,19,2,3,3,2,0,0,1,1,0,0,0,0,"734639,887200000000000","5693487,219200000200000",12.369305589,51.344150782,0,0.0,0,Mitte,,,,,,,,,,
98,45188,45189,14,7,13,000,2016,05,15,4,3,2,6,0,0,0,1,0,0,0,0,"735098,080899999940000","5697039,235100000200000",12.378220061,51.375845515,9,9.0,9,Nord,,,,,,,,,,
99,45202,45203,14,7,13,000,2016,04,09,3,3,0,4,0,0,0,1,1,0,0,0,"733726,131199999950000","5693143,569100000000000",12.355983196,51.341442364,0,0.0,0,Mitte,,,,,,,,,,
100,45223,45224,14,7,13,000,2016,05,15,5,3,2,6,0,0,0,0,0,1,0,1,"736205,069000000020000","5693817,134600000500000",12.391957495,51.346464087,0,0.0,0,Mitte,,,,,,,,,,
101,45276,45277,14,7,13,000,2016,04,15,4,3,2,6,0,0,0,1,0,0,1,0,"736642,999700000040000","5695670,973100000100000",12.399467163,51.362922245,9,9.0,9,Nord,,,,,,,,,,
102,45283,45284,14,7,13,000,2016,04,07,5,3,5,2,0,0,1,1,0,0,0,0,"738493,354100000000000","5689605,853699999900000",12.42193733,51.307708599,3,3.0,3,Südost,,,,,,,,,,
103,45287,45288,14,7,13,000,2016,05,18,2,3,4,2,0,0,1,1,0,0,0,0,"734476,035000000030000","5697039,258999999600000",12.369298267,51.376102894,9,9.0,9,Nord,,,,,,,,,,
104,45350,45351,14,7,13,000,2016,05,11,7,3,2,2,0,0,0,1,0,1,0,0,"730172,046199999980000","5693076,094200000200000",12.304999708,51.342286473,7,7.0,7,Alt-West,,,,,,,,,,
105,45353,45354,14,7,13,000,2016,05,03,3,3,0,7,2,0,1,0,0,0,0,1,"728626,191899999980000","5693240,560700000300000",12.282947907,51.34438661,7,7.0,7,Alt-West,,,,,,,,,,
106,45354,45355,14,7,13,000,2016,04,12,6,3,1,6,0,0,0,1,0,0,0,0,"735427,044100000060000","5693512,438900000400000",12.380604334,51.344051767,0,0.0,0,Mitte,,,,,,,,,,
107,45379,45380,14,7,13,000,2016,04,11,6,2,5,2,0,0,1,1,0,0,0,0,"735644,950599999980000","5690281,039200000500000",12.381590851,51.314955456,4,4.0,4,Süd,,,,,,,,,,
108,45391,45392,14,7,13,000,2016,04,15,4,2,3,6,0,0,0,1,0,0,1,0,"734040,718600000020000","5700824,720599999700000",12.365549695,51.410262199,9,9.0,9,Nord,,,,,,,,,,
109,45392,45393,14,7,13,000,2016,04,15,3,3,5,2,0,0,0,1,0,0,0,1,"736145,300000000050000","5701507,224999999600000",12.396211522,51.415516145,9,9.0,9,Nord,,,,,,,,,,
110,45399,45400,14,7,13,000,2016,05,11,1,2,5,3,0,0,1,0,0,0,0,1,"738581,759399999980000","5694522,009300000000000",12.42649451,51.35179855,2,2.0,2,Ost,,,,,,,,,,
111,45433,45434,14,7,13,000,2016,05,04,5,2,8,1,2,0,0,1,0,0,0,0,"730528,055999999980000","5683132,680999999900000",12.303682143,51.252879706,5,5.0,5,Südwest,,,,,,,,,,
112,45439,45440,14,7,13,000,2016,04,18,5,3,2,3,0,0,1,1,0,0,0,0,"738297,569400000040000","5694499,073400000100000",12.422405461,51.351711892,1,1.0,1,Nordost,,,,,,,,,,
113,45440,45441,14,7,13,000,2016,04,09,4,3,5,3,0,0,0,1,0,0,0,0,"727158,440199999950000","5693385,978600000000000",12.262001359,51.346280418,7,7.0,7,Alt-West,,,,,,,,,,
114,45442,45443,14,7,13,000,2016,04,17,2,3,2,6,0,0,0,1,0,1,0,0,"740258,182099999980000","5695934,222699999800000",12.451478029,51.363767939,2,2.0,2,Ost,,,,,,,,,,
115,45452,45453,14,7,13,000,2016,05,13,2,3,5,2,0,0,1,0,0,0,0,1,"734642,301899999960000","5693488,104399999600000",12.369340782,51.344157732,0,0.0,0,Mitte,,,,,,,,,,
116,45459,45460,14,7,13,000,2016,04,20,4,3,6,4,0,1,0,0,1,0,0,1,"733766,562700000010000","5693160,226800000300000",12.356573601,51.341575272,0,0.0,0,Mitte,,,,,,,,,,
117,45460,45461,14,7,13,000,2016,04,15,2,3,2,6,0,0,0,1,0,0,1,0,"735959,611700000010000","5697122,857200000400000",12.390632023,51.376238828,9,9.0,9,Nord,,,,,,,,,,
